ID;Id_Type;Id_Parent;hierarchy;topic_fr;topic_en;definition_fr;definition_en;Reference;available_EAU;available_Morocco
5279;65346788;5277;001.028.001.057.005.002;Monanthes agriostaphys (Webb & Berthel.) Christ;Monanthes agriostaphys (Webb & Berthel.) Christ;Monanthes agriostaphys (Webb & Berthel.) Christ;Monanthes agriostaphys (Webb & Berthel.) Christ;NULL;0;1
5280;65346788;5277;001.028.001.057.005.003;Monanthes amydros Svent.;Monanthes amydros Svent.;Monanthes amydros Svent.;Monanthes amydros Svent.;NULL;0;1
5281;65346788;5277;001.028.001.057.005.004;Monanthes anagensis Praeger;Monanthes anagensis Praeger;Monanthes anagensis Praeger;Monanthes anagensis Praeger;NULL;0;1
5282;65346788;5277;001.028.001.057.005.005;Monanthes atlantica Ball;Monanthes atlantica Ball;Monanthes atlantica Ball;Monanthes atlantica Ball;NULL;0;1
5283;65346788;5277;001.028.001.057.005.006;Monanthes brachycaulon (Webb & Berthel.) Lowe;Monanthes brachycaulon (Webb & Berthel.) Lowe;Monanthes brachycaulon (Webb & Berthel.) Lowe;Monanthes brachycaulon (Webb & Berthel.) Lowe;NULL;0;1
5284;65346788;5277;001.028.001.057.005.007;Monanthes dasyphylla Svent.;Monanthes dasyphylla Svent.;Monanthes dasyphylla Svent.;Monanthes dasyphylla Svent.;NULL;0;1
5285;65346788;5277;001.028.001.057.005.008;Monanthes icterica (Bolle) Praeger;Monanthes icterica (Bolle) Praeger;Monanthes icterica (Bolle) Praeger;Monanthes icterica (Bolle) Praeger;NULL;0;1
5286;65346788;5277;001.028.001.057.005.009;Monanthes laxiflora Bolle;Monanthes laxiflora Bolle;Monanthes laxiflora Bolle;Monanthes laxiflora Bolle;NULL;0;1
5287;65346788;5277;001.028.001.057.005.010;Monanthes lowei Pérez & Acebes;Monanthes lowei Pérez & Acebes;Monanthes lowei Pérez & Acebes;Monanthes lowei Pérez & Acebes;NULL;0;1
5288;65346788;5277;001.028.001.057.005.011;Monanthes minima (Bolle) Christ;Monanthes minima (Bolle) Christ;Monanthes minima (Bolle) Christ;Monanthes minima (Bolle) Christ;NULL;0;1
5289;65346788;5277;001.028.001.057.005.012;Monanthes muralis (Bolle) Christ;Monanthes muralis (Bolle) Christ;Monanthes muralis (Bolle) Christ;Monanthes muralis (Bolle) Christ;NULL;0;1
5290;65346788;5277;001.028.001.057.005.013;Monanthes niphophila Svent.;Monanthes niphophila Svent.;Monanthes niphophila Svent.;Monanthes niphophila Svent.;NULL;0;1
5291;65346788;5277;001.028.001.057.005.014;Monanthes pallens (H.Christ) H.Christ;Monanthes pallens (H.Christ) H.Christ;Monanthes pallens (H.Christ) H.Christ;Monanthes pallens (H.Christ) H.Christ;NULL;0;1
5292;65346788;5277;001.028.001.057.005.015;Monanthes polyphylla Haw.;Monanthes polyphylla Haw.;Monanthes polyphylla Haw.;Monanthes polyphylla Haw.;NULL;0;1
5293;65346788;5277;001.028.001.057.005.016;Monanthes praegeri Bramwell;Monanthes praegeri Bramwell;Monanthes praegeri Bramwell;Monanthes praegeri Bramwell;NULL;0;1
5294;65346788;5277;001.028.001.057.005.017;Monanthes purpurascens (Bolle & Webb) H.Christ;Monanthes purpurascens (Bolle & Webb) H.Christ;Monanthes purpurascens (Bolle & Webb) H.Christ;Monanthes purpurascens (Bolle & Webb) H.Christ;NULL;0;1
5295;65346788;5277;001.028.001.057.005.018;Monanthes silensis (Praeger) Svent.;Monanthes silensis (Praeger) Svent.;Monanthes silensis (Praeger) Svent.;Monanthes silensis (Praeger) Svent.;NULL;0;1
5296;65346788;5277;001.028.001.057.005.019;Monanthes subcrassicaulis (Kuntze) Praeger;Monanthes subcrassicaulis (Kuntze) Praeger;Monanthes subcrassicaulis (Kuntze) Praeger;Monanthes subcrassicaulis (Kuntze) Praeger;NULL;0;1
5297;65346788;5277;001.028.001.057.005.020;Monanthes tilophila Christ;Monanthes tilophila Christ;Monanthes tilophila Christ;Monanthes tilophila Christ;NULL;0;1
5298;65346788;5277;001.028.001.057.005.021;Monanthes wildpretii Bañares & Scholz;Monanthes wildpretii Bañares & Scholz;Monanthes wildpretii Bañares & Scholz;Monanthes wildpretii Bañares & Scholz;NULL;0;1
5299;65346788;5185;001.028.001.057.006;Pistorinia DC.;Pistorinia DC.;Pistorinia DC.;Pistorinia DC.;NULL;0;1
