Individual_Obj_PK;id1@Thes_Status_Precision;id5@TCarac_Transmitter_Frequency;id9@TCarac_Release_Ring_Code;id12@TCarac_Breeding_Ring_Code;id13@TCarac_Chip_Code
22510;monitored;217327;;U09M07319;0006E7E176
22511;monitored;217261;;U09M07325;0006F3E8B7
22512;monitored;217201;;U09M07124;0006E7D2CA
22513;lost;215014;;U09M07257;0006E76B46
22514;dead;214342;;U09M07271;0006F3C9B7
22515;monitored;214040;;U09M07379;0006F3E578
22516;dead;219142;;U09M07202;0006EE3C6A
25010;dead;219423;;U09M05591;0006E77E5F
25011;dead;219291;;U09M05720;0006F20058
25012;lost;218642;;U09M05595;0006DE6D75
25070;lost;219851;;U09M08065;0006F1ED3D
25071;lost;218432;;U09M08004;0006F3E140
25072;lost;216672;;U09M08038;0006DEC0EE
25101;dead;219412;;U09M07889;0006F3D7E4
25102;monitored;219279;;U09M07871;0006EE4659
25103;dead;219252;;U09M07886;0006E778D4
25107;dead;219442;;U09M07870;0006E76D84
25108;lost;219300;;U09M07882;0006E77633
25109;lost;218190;;U09M09081;0006E761DA
25176;dead;219880;;U09M10009;0006F1EBB0
25177;dead;219322;;U09M10750;0006F3EF78
25179;lost;219672;;U09M11255;0006DE891A
25206;dead;219811;;U09M12209;0006DF21F9
25207;dead;219382;;U09M12210;0006F3E9A1
25209;dead;219612;;U09M12215;0006F3EE52
25217;dead;219800;;U09M12233;0006F1F1B1
25220;lost;219479;;U09M12239;0006DF0B6F
25221;dead;219962;;U09M12263;0006DE7EDD
25222;lost;219832;;U09M12259;0006E763FB
25224;dead;219981;;U09M12615;0006F210BE
25226;dead;218221;;U09M12619;0006DE6943
25273;dead;219861;;U09M12190;0006E7699D
25329;lost;219492;;U09M12271;0006E774F1
25330;lost;218042;;U09M12621;0006E77CFE
25332;lost;219912;;U09M12630;0006F1EA6D
25360;dead;219371;;U09M12248;0006DF0BD5
25361;lost;218581;;U09M12249;0006F21589
25362;dead;219132;;U09M12251;0006DE7AAA
